id,price
0,1291.19
1,6580.8
2,1649.52
3,3816.18
4,1713.78
5,9442.41
6,733.37
7,1000.76
8,734.34
9,14362.14
10,459.43
11,862.2
12,1082.58
13,1653.17
14,1590.08
15,3228.21
16,1303.25
17,1092.53
18,2932.59
19,1782.99
20,5602.45
21,6088.41
22,3403.87
23,15489.57
24,692.0
25,5271.85
26,1292.48
27,10099.31
28,469.44
29,746.41
30,6711.1
31,677.97
32,574.43
33,886.3
34,1818.64
35,14504.89
36,947.03
37,476.88
38,1023.98
39,1841.51
40,3152.39
41,5780.03
42,6671.48
43,2458.53
44,8044.98
45,6331.92
46,5216.92
47,2479.14
48,2785.38
49,4237.32
50,770.43
51,5189.32
52,824.26
53,10471.61
54,801.24
55,8126.75
56,515.77
57,648.67
58,794.05
59,2379.07
60,815.34
61,965.96
62,399.55
63,4917.1
64,3310.2
65,785.62
66,511.47
67,834.53
68,730.2
69,561.19
70,1837.61
71,10563.71
72,762.71
73,1517.1
74,3609.3
75,1715.03
76,907.58
77,9433.92
78,2527.39
79,2336.58
80,949.98
81,3031.28
82,9560.31
83,594.88
84,848.21
85,1044.38
86,2205.98
87,1187.9
88,2887.41
89,6267.35
90,1327.35
91,1696.79
92,796.11
93,5573.67
94,1356.14
95,404.35
96,736.64
97,10377.42
98,634.45
99,5679.34
100,6163.31
101,9577.71
102,4636.04
103,16594.24
104,13411.36
105,559.18
106,484.96
107,506.33
108,5063.93
109,2028.69
110,4222.7
111,5665.48
112,3853.78
113,712.31
114,7643.41
115,1757.67
116,1541.33
117,989.1
118,1229.98
119,2588.08
120,1834.21
121,2005.27
122,13924.47
123,12064.62
124,8554.85
125,856.0
126,659.04
127,967.76
128,2862.58
129,704.83
130,4109.72
131,2757.02
132,10892.78
133,900.71
134,2471.15
135,832.72
136,7778.84
137,15648.8
138,1220.96
139,4179.83
140,2154.79
141,4463.85
142,1736.29
143,10614.87
144,3491.93
145,1228.58
146,887.07
147,1958.12
148,2281.76
149,1915.56
150,6417.4
151,4506.98
152,2576.93
153,1355.26
154,1179.01
155,861.65
156,1753.92
157,1681.68
158,1064.31
159,2385.05
160,1758.17
161,2425.12
162,1702.33
163,815.96
164,626.43
165,4644.28
166,614.31
167,1186.11
168,16528.44
169,2472.61
170,3801.18
171,1407.67
172,645.35
173,2142.0
174,7649.69
175,4645.94
176,4598.0
177,4889.68
178,4797.91
179,1263.92
180,13366.88
181,666.57
182,9885.28
183,1659.02
184,1084.72
185,7444.93
186,869.18
187,2563.04
188,1987.95
189,729.18
190,4354.25
191,596.38
192,2380.0
193,10243.86
194,2237.82
195,1195.49
196,12861.49
197,746.12
198,716.6
199,876.13
200,4271.23
201,2469.79
202,808.35
203,864.79
204,5141.02
205,2287.79
206,15613.92
207,13496.33
208,4016.97
209,837.45
210,5363.9
211,2216.96
212,3580.28
213,3009.59
214,993.54
215,6115.12
216,2018.78
217,719.15
218,4706.94
219,646.06
220,1774.72
221,1774.75
222,1278.42
223,14597.41
224,2100.69
225,1380.68
226,2938.11
227,4245.32
228,770.43
229,5600.11
230,8080.91
231,3113.35
232,929.91
233,591.6
234,1505.71
235,1691.78
236,2137.99
237,826.86
238,760.38
239,9120.01
240,1525.72
241,3863.72
242,8220.17
243,8786.33
244,841.03
245,2442.9
246,12277.75
247,4110.08
248,435.13
249,885.79
250,2539.43
251,758.42
252,935.42
253,2756.8
254,13900.76
255,8637.2
256,14978.83
257,864.15
258,6089.49
259,445.8
260,672.72
261,7880.31
262,10929.59
263,1998.34
264,785.76
265,2075.68
266,797.98
267,561.03
268,868.46
269,3302.04
270,1662.14
271,2258.11
272,3861.06
273,3929.82
274,1017.38
275,471.46
276,992.74
277,714.94
278,3976.5
279,4450.79
280,949.52
281,631.36
282,2370.39
283,994.56
284,656.23
285,14767.1
286,596.74
287,10202.22
288,14100.77
289,739.87
290,766.83
291,1000.96
292,1091.18
293,2542.17
294,5202.41
295,963.69
296,7240.83
297,4112.71
298,3090.45
299,1720.15
300,951.93
301,627.92
302,511.46
303,2803.48
304,4328.23
305,15324.85
306,4364.65
307,4719.47
308,910.08
309,5590.54
310,1283.52
311,620.76
312,3272.81
313,2285.37
314,4257.47
315,1917.49
316,6490.61
317,16493.8
318,13959.1
319,1168.17
320,12479.39
321,6286.63
322,9762.76
323,991.1
324,600.17
325,16346.02
326,884.27
327,1035.65
328,2568.43
329,902.77
330,2289.2
331,1432.95
332,916.9
333,771.14
334,2512.86
335,910.41
336,731.1
337,883.62
338,2567.8
339,4062.24
340,6936.53
341,11965.47
342,771.95
343,1998.77
344,1720.85
345,3993.49
346,2247.89
347,1136.28
348,10681.89
349,10291.58
350,6638.86
351,2641.13
352,1155.51
353,2546.03
354,920.04
355,2688.7
356,833.51
357,3470.59
358,3509.74
359,2966.69
360,779.66
361,783.81
362,1906.23
363,802.83
364,632.52
365,4196.71
366,539.73
367,1143.19
368,1963.37
369,2579.41
370,911.24
371,2389.7
372,516.31
373,1117.33
374,707.57
375,5179.42
376,773.46
377,677.83
378,5214.96
379,3359.07
380,808.55
381,1838.38
382,15396.01
383,457.08
384,1143.4
385,791.94
386,6239.56
387,732.29
388,5668.63
389,6951.35
390,904.59
391,17046.02
392,9494.63
393,3895.35
394,2065.61
395,1761.08
396,5007.04
397,2339.35
398,2528.64
399,1869.12
400,1919.38
401,1799.83
402,2591.98
403,855.9
404,904.04
405,1951.35
406,613.85
407,840.21
408,612.28
409,6925.1
410,6749.64
411,1151.6
412,1018.98
413,1697.38
414,17237.21
415,4248.14
416,994.06
417,1277.01
418,798.67
419,4656.34
420,724.29
421,477.18
422,5470.08
423,8593.17
424,2357.08
425,3943.69
426,4014.99
427,2152.79
428,2043.46
429,615.16
430,799.71
431,924.37
432,4143.89
433,980.2
434,5954.21
435,2388.16
436,893.05
437,2461.16
438,4998.79
439,1021.2
440,5245.34
441,4208.57
442,583.35
443,2008.22
444,1288.11
445,2047.62
446,1400.53
447,16699.52
448,1324.27
449,905.39
450,1453.39
451,10641.78
452,870.49
453,545.71
454,7365.34
455,4606.78
456,809.79
457,4246.07
458,4478.21
459,1144.29
460,2565.69
461,1767.74
462,739.1
463,5090.35
464,6745.01
465,3815.44
466,5610.3
467,3115.63
468,460.62
469,545.26
470,5127.22
471,10895.84
472,8765.06
473,13361.49
474,1728.63
475,7470.8
476,5271.06
477,2000.39
478,758.11
479,9008.28
480,2182.0
481,4655.4
482,1195.09
483,510.7
484,4482.15
485,483.7
486,806.09
487,482.23
488,2730.34
489,2173.42
490,792.21
491,775.9
492,1874.61
493,15821.05
494,8860.05
495,577.8
496,2347.88
497,1394.31
498,12522.86
499,904.34
500,2670.84
501,1986.24
502,1729.49
503,4120.27
504,3592.73
505,8608.62
506,734.18
507,16739.41
508,1003.96
509,6262.9
510,2439.14
511,3062.89
512,2253.19
513,624.3
514,4719.01
515,432.66
516,7450.66
517,2570.61
518,8976.07
519,6251.8
520,5163.42
521,830.83
522,654.22
523,4196.04
524,8895.17
525,926.59
526,791.78
527,626.45
528,838.27
529,955.49
530,4081.73
531,5679.73
532,5897.98
533,10223.78
534,1877.08
535,1719.55
536,547.77
537,4778.14
538,414.23
539,10288.59
540,2991.29
541,1855.7
542,3503.62
543,1306.74
544,910.92
545,4900.95
546,6056.53
547,1177.1
548,4426.39
549,5144.44
550,15036.65
551,3213.66
552,4103.05
553,1885.0
554,3794.12
555,1044.91
556,2070.04
557,567.2
558,3491.17
559,4918.02
560,638.34
561,3225.53
562,8084.77
563,816.31
564,1327.27
565,10091.17
566,2212.08
567,1027.84
568,2200.4
569,2992.23
570,687.6
571,547.9
572,10515.59
573,2009.21
574,1881.99
575,644.76
576,461.2
577,2461.47
578,7389.11
579,6393.78
580,1073.44
581,8906.51
582,609.79
583,1835.69
584,943.98
585,5418.73
586,11845.7
587,804.39
588,1091.26
589,783.02
590,3674.47
591,4875.53
592,4971.98
593,4064.44
594,750.11
595,526.22
596,4648.32
597,581.55
598,1669.3
599,7282.95
600,770.07
601,724.73
602,2539.84
603,4656.41
604,2238.24
605,1471.9
606,6735.55
607,5103.27
608,14425.12
609,719.54
610,10102.08
611,15641.12
612,4666.28
613,1447.89
614,740.04
615,11285.95
616,2488.59
617,479.75
618,1749.1
619,578.48
620,5418.63
621,4348.36
622,15948.21
623,631.68
624,885.75
625,16370.03
626,14767.17
627,6141.76
628,5891.02
629,1205.81
630,3051.62
631,14436.8
632,1112.22
633,997.39
634,990.08
635,3858.62
636,4351.45
637,2912.05
638,4393.76
639,1187.37
640,12123.66
641,5770.26
642,600.17
643,10160.93
644,13108.54
645,4121.06
646,3431.78
647,7047.48
648,2859.1
649,5307.2
650,2976.22
651,1796.05
652,735.41
653,1310.14
654,730.71
655,2422.76
656,7961.14
657,3460.06
658,676.67
659,5423.15
660,453.62
