,cut,color,clarity,carat,depth,table
0,5,4,2,3.0813206047520283,0.1061699940391157,-0.20576411245509474
1,3,3,2,3.439707983352974,1.013798408270136,-0.20576411245509474
2,4,5,2,0.0034054708850898407,-0.5221881388900491,-0.20576411245509474
3,5,5,1,-0.8398589493524278,1.0836159785955948,1.1388491830501948
4,5,4,4,-1.0295934439058692,-0.1032827169372709,-1.1021729761252876
5,3,5,2,-0.5657980127752346,-0.8712759905173634,1.1388491830501948
6,4,7,2,-0.20741063417428973,-0.6618232795409767,1.5870536148852912
7,2,5,2,0.6990986175810415,1.5723389708738367,0.2424403193800017
8,5,6,3,-0.9452670018821175,-0.5920057092155129,-1.1021729761252876
9,1,3,5,0.44611929150978646,-0.24291785758819862,3.8280757740607734
10,4,7,3,-1.050675054411807,-1.4298165531210643,0.6906447512150982
11,5,2,2,0.9099147226404211,-0.38255299823912137,0.2424403193800017
12,4,4,5,-0.9874302228939933,-0.1032827169372709,-0.20576411245509474
13,4,6,6,-0.6079612337871104,-0.5221881388900491,1.5870536148852912
14,5,6,5,-0.8187773388464898,0.6647105566428215,-0.20576411245509474
15,4,3,4,1.626689479842311,-0.5221881388900491,0.6906447512150982
16,5,6,2,0.9520779436522969,0.38544027534096614,-0.20576411245509474
17,4,7,3,0.5936905650513522,0.5948929863173578,-0.6539685442901912
18,4,3,4,0.4672009020157244,0.45525784566643,0.2424403193800017
19,3,5,4,-0.1230841921505379,-0.31273542791366243,1.5870536148852912
20,3,6,2,0.4672009020157244,0.8741632676192082,-0.20576411245509474
21,5,4,8,-1.0295934439058692,0.17598756436457955,-1.5503774079603843
22,3,6,7,0.44611929150978646,-0.1032827169372709,0.2424403193800017
23,4,7,4,-0.48147157075148295,-0.6618232795409767,0.6906447512150982
24,3,5,7,-1.1350014964355588,-0.6618232795409767,0.2424403193800017
25,1,3,2,0.21422157594446917,2.968690377383094,2.483462478555484
26,3,5,2,0.21422157594446917,1.1534335489210585,0.6906447512150982
27,3,4,6,0.4250376810038485,0.8741632676192082,-1.5503774079603843
28,5,5,6,-1.0085118333999312,0.2458051346900434,-0.6539685442901912
29,5,4,4,-0.9663486123880554,0.31562270501550727,-1.9985818397954807
30,3,3,4,-0.8820221703643036,-0.9410935608428272,-0.6539685442901912
31,5,4,5,-0.5868796232811725,0.38544027534096614,-1.1021729761252876
